"","GATA3","AR","MEK1","PDK1","Notch1","p90RSK_Caution"
"199",-0.231632,-0.215918,0.329057,0.011556,0.150963,0.322827
"200",-0.504166,-0.179161,0.067073,-0.106915,0.434297,-0.114474
"201",0.303154,-0.003923,-0.075132,0.206242,-0.421677,0.00805
"202",0.043616,0.103884,0.066311,-0.40676,1.010398,-0.095445
"203",0.063252,0.135028,-0.46436,-0.021802,0.240559,-0.053713
"204",0.210509,0.184614,0.698405,-0.158095,0.73345,0.239622
"205",0.058506,0.385997,-0.225385,-0.149695,0.765798,-0.053876
"206",0.019772,-0.137465,0.0165,-0.010935,-0.375541,-0.218609
"207",0.484161,-0.068612,-0.041326,0.219749,0.837415,0.764772
"208",0.403873,-0.085383,-0.606156,0.174921,-0.372628,-0.550793
"209",0.059972,-0.021445,-0.581959,-0.134847,-0.338504,0.007783
"210",0.300661,-0.038589,-0.118416,-0.11057,0.025522,-0.050924
"211",-0.322351,0.745569,0.199275,-0.291084,-0.245693,-0.263248
"212",0.900473,-0.03338,-1.473817,-0.124577,-0.920237,-0.398611
"213",0.147315,-0.04357,-0.246393,-0.0121,0.089009,0.18669
"214",0.51603,0.227686,-0.096051,-0.178011,-0.311534,-0.337214
"215",-0.309817,-0.231874,0.244546,0.050908,0.189777,-0.322605
"216",-0.334061,0.1991,-0.914324,-0.465476,1.201268,0.53921
"217",-1.167164,-0.015752,-0.604475,0.482105,0.781735,0.243607
"218",-0.155087,-0.216132,-0.076421,0.044285,0.174758,-0.225536
"219",2.452655,-0.348458,-0.203993,0.072471,0.367354,0.608095
"220",0.268365,-0.1377,-0.010091,-0.329199,-0.906641,0.184693
"221",-0.52383,0.646435,-0.560235,0.050956,0.668147,-0.968425
"222",-0.026012,0.704674,0.058063,-0.035155,0.106033,-0.596815
"223",0.209313,0.032032,-0.635904,-0.51154,0.235921,-0.519985
"224",1.545258,-0.389493,-0.058126,-0.319144,0.198207,-0.211105
"225",-0.2491,1.041666,-0.058219,-0.005373,-0.377967,-0.122169
"226",-0.924996,0.052856,0.021581,-0.003183,-0.419856,-0.956913
"227",0.035749,1.98593,0.338876,0.03255,0.566133,-0.327591
"228",-0.041202,0.005094,-0.424896,0.237057,0.417601,-0.318209
"229",0.12493,-0.0823,0.09744,0.168263,0.313476,0.196345
"230",0.280067,0.029657,0.232693,0.3947,0.604362,0.476462
"231",0.897471,0.030795,0.05354,0.11968,-0.857868,0.724977
"232",0.222241,1.670248,-0.00999,0.044776,0.128847,0.177645
"233",0.003234,-0.347415,-0.751614,-0.067879,-0.154923,0.286607
"234",-0.088009,0.969572,-0.452957,-0.368888,0.105116,-0.600245
"235",0.070073,0.47154,-0.185234,-0.317818,-0.704553,-0.430493
"236",0.38603,0.121647,0.057559,0.612777,-0.142364,1.021222
"237",-0.83283,-0.154245,0.212518,-0.077276,0.916256,-0.257956
"238",-0.141184,0.002223,-0.898955,-0.182665,0.753944,-0.023735
"239",-0.049672,1.201193,-0.213242,0.081802,0.077049,-0.856809
"240",-0.405345,-0.01192,0.236214,0.225213,-0.290666,-0.346963
"241",0.421537,0.057349,-0.357596,0.454843,0.017801,0.39826
"242",-0.023086,0.229534,0.774505,0.154355,0.419274,0.022964
"243",-0.206096,0.023681,0.127063,-0.033982,0.232473,0.20513
"244",-0.014113,0.076215,-0.429243,-0.023715,0.062881,-0.30498
"245",-0.412221,-0.264913,-0.389957,0.485575,0.301856,-0.289112
"246",0.056429,-0.074998,0.083286,0.071356,-0.083591,-0.454181
"247",0.166915,-0.08289,-0.022928,-0.021572,0.235672,-0.419123
"248",-0.043854,0.202363,-0.69062,-0.013505,0.023385,0.107462
"249",0.092488,-0.16222,-0.280396,-0.133731,-0.061247,-0.151405
"250",0.270467,-0.186415,-0.669526,-0.327505,0.347995,-0.072622
"251",-1.181559,0.69059,-0.122441,0.23123,-0.381527,-0.273827
"252",0.176991,-0.123618,-0.25626,-0.270049,-0.185696,-0.530225
"253",0.187069,-0.177089,-0.463173,-0.035709,-0.844753,0.373197
"254",3.166459,-0.118681,0.140117,0.024043,-0.985083,-0.978396
"255",-0.145539,-0.100888,0.091808,0.366885,0.547941,0.540285
"256",0.200693,-0.140603,-0.730647,0.114282,-0.038691,0.122229
"257",0.452238,0.008448,-0.230743,-0.273988,1.401419,-0.353022
"258",0.435573,-0.276829,0.085214,-0.372587,-0.693154,-0.169916
"259",4.126761,-0.565302,-0.263059,0.09153,-1.080294,-1.336729
"260",-0.735984,0.871284,0.243034,0.345936,1.0806,-0.423965
"261",0.400037,-0.043049,0.102453,0.060819,-0.076602,0.244572
"262",-0.469954,-0.223757,-0.323889,0.14102,0.379662,0.15971
"263",-0.674326,-0.215058,0.262656,0.437875,0.478816,-0.101751
"264",3.664128,2.457318,-0.17921,0.598273,-0.313484,0.158531
"265",3.451877,-0.290008,-0.5176,0.053687,-0.641722,-0.968694
"266",0.250017,-0.066408,0.359101,0.144842,-0.070319,-0.360117
"267",-0.774506,-0.120475,0.63933,-0.003508,1.444813,-0.167287
"268",-0.264739,-0.105036,0.132487,0.845734,0.879943,0.729531
"269",-0.206535,-0.218363,0.361725,-0.192616,-0.082103,0.647312
"270",0.188106,0.565,-0.222593,-0.005914,0.36226,-0.122417
"271",1.551488,-0.086614,0.328167,0.612195,-0.17658,0.360101
"272",1.300258,0.184069,-0.575027,-0.219108,0.166884,-0.110174
"273",-0.679041,-0.097067,0.200574,0.213567,0.251823,0.006027
"274",-0.045932,1.061755,-0.287952,-0.07897,-0.559104,-0.997642
"275",0.706929,-0.240581,-0.32811,-0.325302,-0.814501,-0.116358
"276",-0.389339,0.798936,-0.169024,-0.044859,0.265144,-0.292746
"277",-1.009233,0.228651,1.255665,-0.897437,0.196013,0.05996
"278",-0.639299,0.183575,0.133234,-0.136738,-0.583716,-0.469345
"279",0.059659,1.697194,0.123614,-0.021582,-0.244577,-0.17998
"280",4.848493,1.516778,0.086646,0.506557,0.013732,0.220749
"281",2.956744,3.760453,-0.250389,0.338568,-0.105265,0.607289
"282",-0.428342,-0.334552,-0.180219,0.180561,1.262194,0.119099
"283",0.220828,0.729216,-1.269406,-0.189629,1.579905,-0.030556
"284",3.880736,0.339565,-0.182893,-0.141338,-0.822932,-0.430415
"285",-0.445638,-0.4406,-0.040912,-0.047262,-0.416912,-0.157551
"286",-0.205864,0.940893,0.374251,0.193698,-0.618446,0.149221
"287",-0.317919,-0.089057,-0.149662,-0.114236,0.348249,-0.358814
"288",-0.532048,-0.332234,0.124853,-0.001012,0.642655,-0.009705
"289",-0.406112,-0.306941,0.321711,-0.331241,-0.280109,0.216494
"290",-0.596074,-0.139703,-0.552529,-0.15139,0.592742,0.200506
"291",0.692586,-0.071947,0.319069,0.024996,-0.559038,-0.451128
"292",-0.462936,-0.046564,0.207242,-0.23775,-0.553696,0.194549
"293",-0.249429,0.103134,-0.296071,0.186993,0.4232,0.002611
"294",0.495288,-0.13138,-0.175994,0.104094,0.354354,0.234108
"295",-0.534699,-0.051937,-0.145074,-0.248924,0.228882,-0.00858
"296",-0.535041,0.061132,0.425247,0.118566,0.596083,0.275646
"297",-0.702211,0.081128,-0.054197,0.184109,0.560282,-0.377644
"298",2.299309,-0.222329,-0.01381,0.135657,0.877698,-0.001183
"299",-0.099623,-0.255939,0.88959,-0.01176,-0.340734,-0.534674
"300",-0.049688,-0.123291,0.326445,0.076242,0.356712,0.136444
"301",-0.200045,0.509464,0.560154,0.211399,0.126152,-0.190978
"302",-0.02404,-0.065806,0.172878,-0.081032,0.748035,0.115071
"303",-0.23875,-0.5791,-0.261066,0.464681,0.00647,0.367395
"304",-0.292699,0.051199,-0.281704,0.093376,-0.350204,-0.098795
"305",-0.250988,0.359687,-0.155346,-0.176655,-0.510163,-0.443105
